"code_bss";"urn_bss";"timestamp_mesure";"niveau_eau_ngf";"longitude";"latitude";"bss_id";"altitude_station";"altitude_repere";"date_mesure";"profondeur_nappe";"date_maj"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770890400000";"99.844";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-12T10:00:00Z";"19.846";"2026-02-13"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770886800000";"99.847";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-12T09:00:00Z";"19.843";"2026-02-13"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770883200000";"99.853";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-12T08:00:00Z";"19.837";"2026-02-13"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770879600000";"99.85499999999999";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-12T07:00:00Z";"19.835";"2026-02-13"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770876000000";"99.864";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-12T06:00:00Z";"19.826";"2026-02-13"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770872400000";"99.88499999999999";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-12T05:00:00Z";"19.805";"2026-02-13"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770868800000";"99.91";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-12T04:00:00Z";"19.78";"2026-02-12"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770865200000";"99.922";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-12T03:00:00Z";"19.768";"2026-02-12"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770861600000";"99.92";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-12T02:00:00Z";"19.77";"2026-02-12"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770858000000";"99.918";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-12T01:00:00Z";"19.772";"2026-02-12"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770854400000";"99.90899999999999";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-12T00:00:00Z";"19.781";"2026-02-12"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770850800000";"99.906";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-11T23:00:00Z";"19.784";"2026-02-12"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770847200000";"99.90299999999999";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-11T22:00:00Z";"19.787";"2026-02-12"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770843600000";"99.895";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-11T21:00:00Z";"19.795";"2026-02-12"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770840000000";"99.877";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-11T20:00:00Z";"19.813";"2026-02-12"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770836400000";"99.869";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-11T19:00:00Z";"19.821";"2026-02-12"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770832800000";"99.846";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-11T18:00:00Z";"19.844";"2026-02-12"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770829200000";"99.827";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-11T17:00:00Z";"19.863";"2026-02-12"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770825600000";"99.809";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-11T16:00:00Z";"19.881";"2026-02-12"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770822000000";"99.793";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-11T15:00:00Z";"19.897";"2026-02-12"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770818400000";"99.78";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-11T14:00:00Z";"19.91";"2026-02-12"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770814800000";"99.767";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-11T13:00:00Z";"19.923";"2026-02-12"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770811200000";"99.758";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-11T12:00:00Z";"19.932";"2026-02-12"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770807600000";"99.74799999999999";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-11T11:00:00Z";"19.942";"2026-02-12"
